"","company_name","number_of_portfolios","number_of_investors","mean_exposure","median_exposure","total_exposure","sector"
"211","Volvo Ab",9,4,0.000381767178264381,8.7892076324393e-05,0.000104010811887184,"Automotive"
"212","West Holdings Corp",2,1,1.92178817449118e-05,1.92178817449118e-05,3.20649916684589e-06,"Power"
"213","Woodside Petroleum Ltd",7,3,0.000107908787793495,3.78622205361776e-05,6.92666203712523e-05,"Oil&Gas"
"214","Zhejiang Zheneng Electric Powe",2,1,1.21794011010978e-05,1.21794011010978e-05,1.86396725077804e-06,"Power"
"215","Zhengzhou Yutong Bus Co Ltd",2,1,7.52747835982437e-06,7.52747835982437e-06,1.15202488424396e-06,"Automotive"
"216","Shanxi Lu'An Environmental Ene",2,1,5.81490342659186e-06,5.81490342659186e-06,NA,"Coal"
"217","Shenergy Co Ltd",2,1,6.2908913020175e-06,6.2908913020175e-06,NA,"Power"
"218","Shenzhen Energy Group Co Ltd",2,1,5.0788397017068e-06,5.0788397017068e-06,NA,"Power"
"219","Africa Oil Corp",2,1,3.3664457418704e-06,3.3664457418704e-06,NA,"Oil&Gas"
"220","Geopark Ltd",2,1,1.08257496978599e-05,1.08257496978599e-05,NA,"Oil&Gas"
"221","Husky Energy Inc",2,1,7.20122624844e-05,7.20122624844e-05,NA,"Oil&Gas"
"222","Parsley Energy Inc",2,1,7.63151762531693e-06,7.63151762531693e-06,NA,"Oil&Gas"
"223","Pdc Energy Inc",2,1,1.26101151945878e-05,1.26101151945878e-05,NA,"Oil&Gas"
"224","Sm Energy Co",2,1,7.73634451781005e-06,7.73634451781005e-06,NA,"Oil&Gas"
"225","Valeura Energy Inc",2,1,3.30388381553077e-06,3.30388381553077e-06,NA,"Oil&Gas"
"226","Electric Power Development Co",2,1,1.76420330662189e-06,1.76420330662189e-06,NA,"Power"
"227","Aboitiz Power Corp",2,1,1.43484356677506e-05,1.43484356677506e-05,NA,"Power"
"228","Ashok Leyland Ltd",2,1,2.42439085420613e-05,2.42439085420613e-05,NA,"Automotive"
"229","Baic Motor Corp Ltd",2,1,9.89547287431076e-06,9.89547287431076e-06,NA,"Automotive"
"230","Brilliance China Automotive Ho",2,1,3.21602868415098e-05,3.21602868415098e-05,NA,"Automotive"
"231","Centrais Eletricas Brasileiras",2,1,4.20557597158206e-05,4.20557597158206e-05,NA,"Power"
"232","Cgn Power Co Ltd",2,1,3.31498341289409e-05,3.31498341289409e-05,NA,"Power"
"233","Coal India Ltd",2,1,3.31498341289409e-05,3.31498341289409e-05,NA,"Coal"
"234","Datang International Power Gen",2,1,4.45296279343983e-06,4.45296279343983e-06,NA,"Power"
"235","Dmci Holdings Inc",2,1,1.13797938054573e-05,1.13797938054573e-05,NA,"Power"
"236","Ecopetrol Sa",2,1,5.64041953835712e-05,5.64041953835712e-05,NA,"Oil&Gas"
"237","Engie Brasil Energia Sa",2,1,2.17700403234836e-05,2.17700403234836e-05,NA,"Power"
"238","Exxaro Resources Ltd",2,1,3.06759659103633e-05,3.06759659103633e-05,NA,"Coal"
"239","Gail India Ltd",2,1,5.14564589464158e-05,5.14564589464158e-05,NA,"Oil&Gas"
"240","Indian Oil Corp Ltd",2,1,3.31498341289409e-05,3.31498341289409e-05,NA,"Oil&Gas"
"241","Inner Mongolia Yitai Coal Co L",2,1,1.68223038863282e-05,1.68223038863282e-05,NA,"Coal"
"242","Jastrzebska Spolka Weglowa Sa",2,1,1.33588883803195e-05,1.33588883803195e-05,NA,"Coal"
"243","Manila Electric Co",2,1,2.32543612546302e-05,2.32543612546302e-05,NA,"Power"
"244","Ntpc Ltd",2,1,5.14564589464158e-05,5.14564589464158e-05,NA,"Power"
"245","Oil & Gas Development Co Ltd",2,1,8.41115194316411e-06,8.41115194316411e-06,NA,"Oil&Gas"
"246","Qatar Electricity & Water Co Q",2,1,2.72125504043545e-05,2.72125504043545e-05,NA,"Power"
"247","Tata Power Co Ltd/The",2,1,1.53379829551816e-05,1.53379829551816e-05,NA,"Power"
"248","Yanzhou Coal Mining Co Ltd",2,1,2.07804930360526e-05,2.07804930360526e-05,NA,"Coal"
"249","Ytl Corp Bhd",2,1,1.13797938054573e-05,1.13797938054573e-05,NA,"Power"
